,Mean,Brightness,target
0,0.39125578426679436,0.3219776925041735,CITOPLASMA
1,0.36269347375139616,0.29628918165342866,CITOPLASMA
2,0.36508696345939046,0.33145905748931687,CITOPLASMA
3,0.36652305728418705,0.28523653731878196,CITOPLASMA
4,0.3489707994255625,0.34509747544899877,CITOPLASMA
5,0.3508855911919579,0.3846171664916861,CITOPLASMA
6,0.3588638902186054,0.3616641132908333,CITOPLASMA
7,0.34194989628211264,0.39350749539021473,CITOPLASMA
8,0.3465773097175682,0.4199266528189288,CITOPLASMA
9,0.3706717727780437,0.3208899492951817,CITOPLASMA
10,0.3714696026807085,0.36926808974147224,CITOPLASMA
11,0.36764001914791766,0.36476082480379624,CITOPLASMA
12,0.34530078187330465,0.28698144251582747,CITOPLASMA
13,0.3950853677995852,0.31154605082535325,CITOPLASMA
14,0.3559917025690123,0.389569814315071,CITOPLASMA
15,0.3612573799265997,0.36273601632626773,CITOPLASMA
16,0.36636349130365403,0.3622137907392627,CITOPLASMA
17,0.4048188926120951,0.31203228769374286,CITOPLASMA
18,0.3797670336684219,0.41684644374893653,CITOPLASMA
19,0.3816818254348173,0.4440684329779808,CITOPLASMA
20,0.38311791925961386,0.38580186846092873,CITOPLASMA
21,0.39444710387745335,0.31652187046923436,CITOPLASMA
22,0.39412797191638743,0.28464446443774577,CITOPLASMA
23,0.3917344822083932,0.32245143568081586,CITOPLASMA
24,0.37482048827190045,0.3497880435211364,CITOPLASMA
25,0.4005106111377054,0.3595522716510647,CITOPLASMA
26,0.3462581777565023,0.345954770749326,CITOPLASMA
27,0.35375777884155096,0.24944200321622736,CITOPLASMA
28,0.3689165469921813,0.32522626717932573,CITOPLASMA
29,0.3628530397319292,0.3779504843406288,CITOPLASMA
30,0.3347694271581299,0.299935604429535,CITOPLASMA
31,0.2945588000638264,0.43927013115436114,CITOPLASMA
32,0.3234402425402904,0.3005143316267368,CITOPLASMA
33,0.3052497207595341,0.291178015947608,CITOPLASMA
34,0.286261369076113,0.2986420838469424,CITOPLASMA
35,0.2620073400351045,0.3153169732003215,CITOPLASMA
36,0.2809956917185256,0.3373742653530623,CITOPLASMA
37,0.32104675283229617,0.3392912199448121,CITOPLASMA
38,0.2843465773097176,0.31282583694229676,CITOPLASMA
39,0.30142013722674327,0.4499298358594648,CITOPLASMA
40,0.2608903781713739,0.3528422863933408,CITOPLASMA
41,0.2655177916068294,0.2698723496073625,CITOPLASMA
42,0.26583692356789534,0.32140355769295953,CITOPLASMA
43,0.26583692356789534,0.37901915563157673,CITOPLASMA
44,0.2406254986436892,0.3651886110162811,CITOPLASMA
45,0.2618477740545716,0.368725442932134,CITOPLASMA
46,0.3078027764480613,0.33987159481951923,CITOPLASMA
47,0.29790968565501835,0.3748268541741619,CITOPLASMA
48,0.2835487474070528,0.2979113334928774,CITOPLASMA
49,0.3228019786181586,0.3917660048412555,CITOPLASMA
50,0.32790808999521304,0.36666581717983354,CITOPLASMA
51,0.34753470560076594,0.36873130128262155,CITOPLASMA
52,0.3483325355034307,0.3494917121517853,CITOPLASMA
53,0.3740226583692357,0.3184414103544834,CITOPLASMA
54,0.3464177437370353,0.33871364292530914,CITOPLASMA
55,0.3492899313866284,0.2855262583368069,CITOPLASMA
56,0.3486516674644966,0.3793233780198687,CITOPLASMA
57,0.3106749640976544,0.4714351091118861,CITOPLASMA
58,0.3478538375618318,0.3837162602229207,CITOPLASMA
59,0.3130684538056486,0.3960191263136299,CITOPLASMA
60,0.3044518908568693,0.28961008891789186,CITOPLASMA
61,0.286261369076113,0.37278868846439844,CITOPLASMA
62,0.3146641136109781,0.40367139293609744,CITOPLASMA
63,0.2936014041806287,0.2816570289054993,CITOPLASMA
64,0.3199297909685655,0.3839442008508621,CITOPLASMA
65,0.28386787936811875,0.319790021713777,CITOPLASMA
66,0.3058879846816659,0.33326993104842045,CITOPLASMA
67,0.27413435455560875,0.3240125243048272,CITOPLASMA
68,0.29056965055050266,0.486993517304006,CITOPLASMA
69,0.2945588000638264,0.2746593161159585,CITOPLASMA
70,0.2849848412318494,0.33593060967128135,CITOPLASMA
71,0.3188128291048349,0.4560523640228818,CITOPLASMA
72,0.2615286420935057,0.32761143932613485,CITOPLASMA
73,0.2904100845699697,0.3664652020117396,CITOPLASMA
74,0.25339077708632524,0.3977598393008599,CITOPLASMA
75,0.25418860698898993,0.34512575280721797,CITOPLASMA
76,0.26599648954842825,0.29671847851193156,CITOPLASMA
77,0.22530716451252594,0.324323255067488,BACKGROUND
78,0.22817935216211904,0.34261247689674224,BACKGROUND
79,0.26934737513962026,0.3606528859944278,CITOPLASMA
80,0.2586564544439126,0.3420178345777285,CITOPLASMA
81,0.25418860698898993,0.4278726590661613,CITOPLASMA
82,0.27604914632200417,0.28569481886975984,CITOPLASMA
83,0.2936014041806287,0.3448679408318883,CITOPLASMA
84,0.2739747885750758,0.3089223894997271,CITOPLASMA
85,0.2929631402584969,0.3552682502913074,CITOPLASMA
86,0.29280357427796394,0.3309544867003292,CITOPLASMA
87,0.31562150949417583,0.26608011452648045,CITOPLASMA
88,0.3049305887984682,0.374263636356681,CITOPLASMA
89,0.35423647678314985,0.32774931238122484,CITOPLASMA
90,0.32423807244295516,0.288525779641754,CITOPLASMA
91,0.3456199138343705,0.3596749546523682,CITOPLASMA
92,0.32503590234561996,0.36446236405320526,CITOPLASMA
93,0.3299824477421414,0.30004316836522493,CITOPLASMA
94,0.32679112813148237,0.35121303452597735,CITOPLASMA
95,0.3341311632359981,0.37219704932594716,CITOPLASMA
